YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2018,NOV,2018-11-18,Italy,407.0,397.0,Rome - Fiumicino (LIRF)
2022,JAN,2022-01-11,France,2.0,2.0,Dôle-Tavaux (LFGJ)
2020,MAY,2020-05-10,Poland,3.0,5.0,Katowice - Pyrzowice (EPKT)
2018,,2018-12-24,Poland,13.0,12.0,Warszawa - Modlin (EPMO)
2020,JUL,2020-07-01,Spain,,5.0,Hierro (GCHI)
2017,,2017-12-24,Portugal,4.0,,Horta (LPHR)
2017,,2017-11-05,Italy,69.0,65.0,Rome - Ciampino (LIRA)
2016,,2016-12-31,France,2.0,2.0,Carcassonne-Salvaza (LFMK)
2017,,2017-12-29,Germany,203.0,,Dusseldorf (EDDL)
2021,SEP,2021-09-17,Belgium,,81.0,Charleroi (EBCI)
2020,AUG,2020-08-16,Czech Republic,89.0,92.0,Prague (LKPR)
2016,JAN,2016-01-09,Poland,7.0,7.0,Szczecin - Goleniów (EPSC)
2017,SEP,2017-09-28,France,31.0,32.0,Beauvais-Tillé (LFOB)
2018,FEB,2018-02-24,France,,,Clermont-Ferrand-Auvergne (LFLC)
2022,,2022-03-02,Lithuania,33.0,35.0,Vilnius (EYVI)
2019,,2019-12-26,France,,,Toussus-le-Noble (LFPN)
2019,APR,2019-04-14,France,8.0,7.0,Poitiers-Biard (LFBI)
2022,,2022-05-29,United Kingdom,361.0,366.0,London - Gatwick (EGKK)
2017,NOV,2017-11-19,France,,2.0,Chambéry-Aix-les-Bains (LFLB)
2017,NOV,2017-11-09,Cyprus,17.0,19.0,Paphos (LCPH)
2020,SEP,2020-09-22,Greece,3.0,3.0,Skiathos (LGSK)
2019,JUN,2019-06-24,Croatia,72.0,74.0,Zagreb (LDZA)
2016,,2016-12-19,Poland,220.0,219.0,Warszawa - Chopina (EPWA)
2018,MAY,2018-05-26,Italy,96.0,,Bologna (LIPE)
2020,JAN,2020-01-04,France,10.0,,Perpignan-Rivesaltes (LFMP)
2019,MAY,2019-05-25,France,,3.0,Chambéry-Aix-les-Bains (LFLB)
2018,,2018-10-11,Netherlands,21.0,17.0,Groningen (EHGG)
2020,JUN,2020-06-22,Spain,8.0,6.0,Burgos (LEBG)
2019,MAY,2019-05-29,Spain,164.0,162.0,Gran Canaria (GCLP)
