YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2019,DEC,2019-12-26,France,21,18,Toussus-le-Noble (LFPN)
2019,APR,2019-04-14,France,8,7,Poitiers-Biard (LFBI)
2022,MAY,2022-05-29,United Kingdom,361,366,London - Gatwick (EGKK)
2017,NOV,2017-11-19,France,1,2,Chambéry-Aix-les-Bains (LFLB)
2017,NOV,2017-11-09,Cyprus,17,19,Paphos (LCPH)
2020,SEP,2020-09-22,Greece,3,3,Skiathos (LGSK)
2019,JUN,2019-06-24,Croatia,72,74,Zagreb (LDZA)
2016,DEC,2016-12-19,Poland,220,219,Warszawa - Chopina (EPWA)
2018,MAY,2018-05-26,Italy,96,92,Bologna (LIPE)
2020,JAN,2020-01-04,France,10,9,Perpignan-Rivesaltes (LFMP)
2019,MAY,2019-05-25,France,2,3,Chambéry-Aix-les-Bains (LFLB)
2018,OCT,2018-10-11,Netherlands,21,17,Groningen (EHGG)
2020,JUN,2020-06-22,Spain,8,6,Burgos (LEBG)
2019,MAY,2019-05-29,Spain,164,162,Gran Canaria (GCLP)
